,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סאאב,9-5,,2008,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
1,סאאב,9-5,,2007,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
2,סאאב,9-5,,2006,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
3,סאאב,9-5,,2005,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
4,סאאב,9-5,,2004,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
5,סאאב,9-5,,2003,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
6,סאאב,9-5,,2002,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
7,סאאב,9-5,,2001,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
8,סאאב,9-5,,2000,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
9,סאאב,9-5,,1999,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
10,סאאב,9-5,,1998,4,5,קדמית,אוטומטית - טיפטרוניק,5,טורבו בנזין,4,2290,220,5500,31.7,1900,8.7,230,,,9.7,,,,,,ABS + EBD + BAS,4,יש,אין,481.0,179.0,147.0,270.5,500,,1570,,,,,225/45R17,68,2X4,1,5,1,9-5
